分类,单词,中文,例句
形状 (Shapes),sphere,球体,The crystal ball had a perfectly smooth sphere shape.
形状 (Shapes),cube,立方体,The math teacher used a cube to explain volume.
形状 (Shapes),cylinder,圆柱体,The soda can was shaped like a cylinder.
形状 (Shapes),cone,圆锥体,The ice cream was served in a cone-shaped cup.
形状 (Shapes),pyramid,金字塔,The ancient Egyptians built grand pyramids as tombs for pharaohs.
形状 (Shapes),hexagon,六边形,The honeycomb had cells in the shape of hexagons.
形状 (Shapes),diamond,菱形,She wore a necklace with a diamond-shaped pendant.
形状 (Shapes),star,星形,The children cut out stars from colored paper for the craft project.
形状 (Shapes),crescent,月牙形,The moon appeared as a crescent in the night sky.
形状 (Shapes),heart,心形,She drew a heart on the Valentine's Day card.
职业 (Occupations),teacher,老师,She is a kind and patient teacher.
职业 (Occupations),doctor,医生,My brother wants to be a doctor when he grows up.
职业 (Occupations),engineer,工程师,My dad is an engineer and he designs buildings.
职业 (Occupations),nurse,护士,The nurse took good care of me when I was in the hospital.
职业 (Occupations),police officer,警察,The police officer helped catch the thieves.
职业 (Occupations),chef,厨师,The chef prepared a delicious meal for us.
职业 (Occupations),artist,艺术家,She is a talented artist who paints beautiful pictures.
职业 (Occupations),musician,音乐家,The musician played the piano at the concert.
职业 (Occupations),pilot,飞行员,The pilot flew the plane safely to its destination.
职业 (Occupations),lawyer,律师,The lawyer defended her client in court.
职业 (Occupations),firefighter,消防员,The firefighter bravely rescued the people from the burning building.
职业 (Occupations),mechanic,汽车修理工,The mechanic fixed my car's engine.
职业 (Occupations),dentist,牙医,I need to see the dentist for a check-up.
职业 (Occupations),photographer,摄影师,The photographer takes stunning pictures.
职业 (Occupations),teacher assistant,助教,The teacher assistant helped the students with their projects.
职业 (Occupations),scientist,科学家,The scientist conducted experiments in the laboratory.
职业 (Occupations),architect,建筑师,The architect designed a beautiful new building.
职业 (Occupations),veterinarian,兽医,The veterinarian took care of sick animals.
职业 (Occupations),hairdresser,理发师,The hairdresser cut and styled my hair beautifully.
职业 (Occupations),salesperson,销售员,The salesperson helped me find the perfect dress.
职业 (Occupations),social worker,社工,The social worker provides support to families in need.
职业 (Occupations),waiter/waitress,服务员,The waiter served us dinner at the restaurant.
职业 (Occupations),plumber,水管工,The plumber fixed the leaky pipe in our bathroom.
职业 (Occupations),electrician,电工,The electrician repaired the electrical wiring in our house.
职业 (Occupations),translator,翻译,The translator helped us communicate with people from different countries.
职业 (Occupations),coach,教练,The coach trained the team to win the championship.
职业 (Occupations),banker,银行家,The banker helps people with their financial needs.
职业 (Occupations),IT specialist,信息技术专家,The IT specialist fixed my computer issues.
职业 (Occupations),journalist,记者,The journalist reported on the breaking news story.
房地产 (Real Estate),property,房产,My uncle owns several properties in the city.
房地产 (Real Estate),mortgage,抵押贷款,We had to take out a mortgage to buy our house.
房地产 (Real Estate),rent,租金,The rent for the apartment is due at the end of the month.
房地产 (Real Estate),investment,投资,Housing can be a profitable investment.
房地产 (Real Estate),tenant,租户,The new tenant moved in last week.
房地产 (Real Estate),landlord,房东,Our landlord is very strict about noise levels.
房地产 (Real Estate),lease,租约,We signed a lease for one year.
房地产 (Real Estate),sale,销售,The house is up for sale.
房地产 (Real Estate),buy,购买,We plan to buy a new property next year.
房地产 (Real Estate),value,价值,The value of the house has increased over the years.
乐器 (Musical Instruments),guitar,吉他,She plays the guitar beautifully.
乐器 (Musical Instruments),piano,钢琴,He practices the piano for two hours every day.
乐器 (Musical Instruments),violin,小提琴,The violinist performed a beautiful melody.
乐器 (Musical Instruments),drums,鼓,She played the drums in the school band.
乐器 (Musical Instruments),flute,长笛,He learned to play the flute when he was young.
乐器 (Musical Instruments),trumpet,小号,The sound of the trumpet filled the room.
乐器 (Musical Instruments),saxophone,萨克斯风,She loves the sound of the saxophone.
乐器 (Musical Instruments),keyboard,键盘,He is skilled at playing the keyboard.
乐器 (Musical Instruments),tambourine,铃鼓,She played the tambourine during the music performance.
乐器 (Musical Instruments),harmonica,口琴,He carried his harmonica everywhere he went.
乐器 (Musical Instruments),accordion,手风琴,She played the accordion at the street fair.
乐器 (Musical Instruments),clarinet,单簧管,The clarinet player was very talented.
乐器 (Musical Instruments),xylophone,木琴,The children enjoyed playing the xylophone.
乐器 (Musical Instruments),harp,竖琴,The harpist enchanted the audience with her music.
乐器 (Musical Instruments),trumpet,小号,The sound of the trumpet filled the room.
乐器 (Musical Instruments),triangle,三角铁,She played the triangle in the school orchestra.
乐器 (Musical Instruments),cello,大提琴,The cellist performed a moving piece.
乐器 (Musical Instruments),bass guitar,贝斯吉他,He plays the bass guitar in a rock band.
乐器 (Musical Instruments),trombone,长号,The trombone player practiced for hours to perfect his performance.
乐器 (Musical Instruments),ukulele,尤克里里,She sang along while playing the ukulele.
乐器 (Musical Instruments),maracas,沙锤,The rhythm of the maracas added to the music.
乐器 (Musical Instruments),bagpipes,风笛,He played the bagpipes at the traditional Scottish ceremony.
乐器 (Musical Instruments),banjo,班卓琴,The banjo player strummed the strings with skill.
乐器 (Musical Instruments),organ,管风琴,The church had a beautiful organ for the Sunday service.
乐器 (Musical Instruments),recorder,直笛,She learned to play the recorder in music class.
乐器 (Musical Instruments),French horn,法国号,The sound of the French horn was majestic.
乐器 (Musical Instruments),glockenspiel,钟琴,He enjoyed playing the glockenspiel in the school band.
乐器 (Musical Instruments),synthesizer,合成器,The synthesizer produced futuristic sounds in the performance.
宗教 (Religion),belief,信仰,She holds strong beliefs in Buddhism.
宗教 (Religion),worship,敬拜,They go to the church every Sunday to worship.
宗教 (Religion),faith,信仰,His faith in God helped him through tough times.
宗教 (Religion),prayer,祈祷,They gathered together for a prayer before the ceremony.
宗教 (Religion),spiritual,精神的,She finds peace through spiritual practices.
宗教 (Religion),ritual,仪式,The ceremony includes several ancient rituals.
宗教 (Religion),devotion,献身,His devotion to his religion is unwavering.
宗教 (Religion),divine,神圣的,They believe in the divine power of the universe.
宗教 (Religion),sacred,神圣的,The temple is a sacred place for many believers.
宗教 (Religion),blessing,祝福,They asked for blessings before starting their journey.
宗教 (Religion),ceremony,仪式,The wedding ceremony was beautiful and meaningful.
宗教 (Religion),holy,圣洁的,The holy book is central to their religious practice.
宗教 (Religion),soul,灵魂,They believe the soul lives on after death.
宗教 (Religion),priest,牧师,The priest leads the congregation in prayer.
宗教 (Religion),heaven,天堂,In their beliefs
宗教 (Religion),eternity,永恒,They believe in life after death
宗教 (Religion),salvation,拯救,They seek salvation through their faith.
宗教 (Religion),sacrifice,牺牲,He made a great sacrifice for his religious beliefs.
宗教 (Religion),prophet,先知,Moses is considered a great prophet in their religion.
宗教 (Religion),meditation,冥想,She finds clarity through meditation.
宗教 (Religion),temptation,诱惑,They resist temptation in order to stay faithful.
宗教 (Religion),sin,罪孽,Confessing one's sins is an important part of their faith.
宗教 (Religion),angel,天使,They believe that angels watch over them.
宗教 (Religion),demon,恶魔,The story warns of the power of demons.
宗教 (Religion),Karma,因果报应,They believe in the concept of Karma.
宗教 (Religion),enlightenment,启迪,Seeking enlightenment is a goal for many practitioners.
宗教 (Religion),afterlife,来世,They believe in an afterlife filled with peace.
宗教 (Religion),charity,慈善,Charity is an important aspect of their religion.
宗教 (Religion),pilgrimage,朝圣,Many believers go on pilgrimage to holy sites.
飞行 (Aviation),Airport,机场,The plane landed safely at the airport.
飞行 (Aviation),Runway,跑道,The pilot taxied the aircraft to the runway.
飞行 (Aviation),Takeoff,起飞,The airplane prepared for takeoff.
飞行 (Aviation),Landing,降落,The captain smoothly executed the landing.
飞行 (Aviation),Cockpit,驾驶舱,The co-pilot assisted in the cockpit.
飞行 (Aviation),Cabin,机舱,Passengers boarded the aircraft through the cabin door.
飞行 (Aviation),Altitude,海拔高度,The plane climbed to a higher altitude.
飞行 (Aviation),Turbulence,颠簸,The flight experienced some turbulence.
飞行 (Aviation),Navigation,导航,The pilot adjusted the navigation system.
飞行 (Aviation),Airspeed,空速,The airspeed indicator showed the current speed.
飞行 (Aviation),Departure,起飞,The flight departure was delayed.
飞行 (Aviation),Arrival,到达,The passengers eagerly awaited the arrival.
飞行 (Aviation),Control tower,塔台,The air traffic controller communicated with the control tower.
飞行 (Aviation),Emergency,紧急情况,The crew prepared for an emergency landing.
飞行 (Aviation),Delay,延误,The flight was delayed due to bad weather.
飞行 (Aviation),Turbine,涡轮,The jet engine was powered by a turbine.
飞行 (Aviation),Fuselage,机身,The plane's fuselage was made of lightweight materials.
飞行 (Aviation),Ground staff,地勤人员,The ground staff guided the plane to the gate.
飞行 (Aviation),Boarding pass,登机牌,Passengers presented their boarding pass for scanning.
飞行 (Aviation),Baggage claim,行李领取处,Passengers waited at the baggage claim area.
飞行 (Aviation),Air traffic,空中交通,The air traffic controller managed the flow of air traffic.
飞行 (Aviation),Radar,雷达,The radar system detected other aircraft in the area.
飞行 (Aviation),Turbulent,动荡的,The weather caused turbulent conditions.
飞行 (Aviation),Flap,襟翼,The pilot adjusted the flaps for landing.
飞行 (Aviation),Seatbelt,安全带,Passengers were reminded to fasten their seatbelt.
飞行 (Aviation),Arrival gate,到达门,The passengers gathered at the arrival gate.
飞行 (Aviation),Departure gate,出发门,Passengers proceeded to the departure gate for boarding.
飞行 (Aviation),Jet fuel,喷气燃料,The aircraft was refueled with jet fuel.
飞行 (Aviation),De-icing,融冰,The crew de-iced the plane before takeoff.
飞行 (Aviation),Airworthiness,适航性,The aircraft passed the airworthiness inspection.
学历 (Education),graduate,毕业,She will graduate from high school next year.
学历 (Education),diploma,文凭,He received his diploma in Business Administration.
学历 (Education),degree,学位,She has a bachelor's degree in English Literature.
学历 (Education),schooling,教育,He had his schooling in a private school.
学历 (Education),certificate,证书,She earned a certificate in computer programming.
学历 (Education),knowledge,知识,Reading can increase your knowledge.
学历 (Education),study,学习,I have to study for my history exam.
学历 (Education),learn,学习,She wants to learn how to play the piano.
学历 (Education),classroom,教室,The students gathered in the classroom for the lesson.
学历 (Education),lesson,课程,Today's lesson is on fractions.
学历 (Education),teach,教,She decided to teach English abroad.
学历 (Education),student,学生,There are many students in the school.
学历 (Education),teacher,老师,The teacher explained the rules to the class.
学历 (Education),college,大学,He plans to attend college in the fall.
学历 (Education),university,大学,She is studying at the University of Oxford.
学历 (Education),course,课程,I am taking a photography course next semester.
学历 (Education),homework,家庭作业,Don't forget to do your homework before class.
学历 (Education),exam,考试,He is nervous about his math exam.
学历 (Education),test,测试,The students took a spelling test.
学历 (Education),grade,分数,She received an A grade on her science project.
学历 (Education),mark,分数,He got a high mark on his English essay.
学历 (Education),pass,及格,I hope I pass the test.
学历 (Education),fail,不及格,Unfortunately
学历 (Education),review,复习,She reviewed her notes before the quiz.
学历 (Education),study group,学习小组,They formed a study group to prepare for the test.
学历 (Education),lecture,讲座,The professor gave a lecture on biology.
学历 (Education),academic,学术的,She received an academic scholarship for her grades.
学历 (Education),scholarship,奖学金,He was awarded a scholarship to study abroad.
学历 (Education),major,专业,She decided to major in Chemistry.
旅馆 (Hotels),reservation,预订,I made a reservation for a double room at the hotel.
旅馆 (Hotels),check-in,入住登记,Guests can check-in at the front desk from 3pm onwards.
旅馆 (Hotels),check-out,退房,The check-out time is before 11am.
旅馆 (Hotels),room service,客房服务,You can order food and drinks through room service.
旅馆 (Hotels),booking,预订,Have you made a booking for your stay?
旅馆 (Hotels),concierge,门房,The concierge can help you with directions and recommendations.
旅馆 (Hotels),reception,前台,You can ask for help at the reception desk 24 hours a day.
旅馆 (Hotels),amenities,设施,The hotel offers a range of amenities including a gym and spa.
旅馆 (Hotels),housekeeping,客房清洁服务,Housekeeping will clean your room daily.
旅馆 (Hotels),suite,套房,We stayed in a luxurious suite during our vacation.
旅馆 (Hotels),lobby,大堂,You can wait in the lobby until your room is ready.
旅馆 (Hotels),key card,门卡,Don't forget to take your key card with you when you leave the room.
旅馆 (Hotels),bellboy,行李员,The bellboy will help you with your luggage.
旅馆 (Hotels),single room,单人间,I booked a single room for my business trip.
旅馆 (Hotels),double room,双人间,The double room has a queen-sized bed and a sofa.
旅馆 (Hotels),vacancy,空房,Sorry
旅馆 (Hotels),occupancy,入住率,The hotel's occupancy rate is high during the holiday season.
旅馆 (Hotels),suite,套房,The honeymoon suite offers stunning views of the ocean.
旅馆 (Hotels),buffet breakfast,自助早餐,Guests can enjoy a delicious buffet breakfast in the hotel restaurant.
旅馆 (Hotels),cancellation,取消,There is a fee for cancellations made less than 24 hours before check-in.
旅馆 (Hotels),conference room,会议室,The hotel has a spacious conference room for business meetings.
旅馆 (Hotels),valet parking,代客泊车,You can use the valet parking service at the hotel.
旅馆 (Hotels),internet access,上网服务,Guests have complimentary internet access in their rooms.
旅馆 (Hotels),jacuzzi,按摩浴缸,The suite comes with a private jacuzzi for relaxation.
旅馆 (Hotels),shuttle service,班车服务,The hotel provides a shuttle service to the airport.
旅馆 (Hotels),laundry service,洗衣服务,Guests can use the laundry service to freshen up their clothes.
旅馆 (Hotels),mini-bar,迷你吧,The mini-bar in the room is stocked with drinks and snacks.
旅馆 (Hotels),late check-out,晚退房,You can request a late check-out for an additional fee.
旅馆 (Hotels),front desk,前台,Please check with the front desk for any additional charges.
餐厅 (Restaurants),menu,菜单,Can I have a look at the menu
餐厅 (Restaurants),reservation,预订,Have you made a reservation for tonight?
餐厅 (Restaurants),waiter,服务员,The waiter brought us the drinks we ordered.
餐厅 (Restaurants),chef,厨师,The chef recommended the special of the day.
餐厅 (Restaurants),dining,就餐,We enjoyed a delicious dining experience at the new restaurant.
餐厅 (Restaurants),table,餐桌,We were seated at a cozy table by the window.
餐厅 (Restaurants),bill,账单,May I have the bill
餐厅 (Restaurants),cuisine,菜系,The restaurant specializes in French cuisine.
餐厅 (Restaurants),special,特色菜,Today's specials include fresh seafood.
餐厅 (Restaurants),patron,顾客,The loyal patrons of the restaurant always leave satisfied.
餐厅 (Restaurants),hostess,女招待,The hostess greeted us warmly at the door.
餐厅 (Restaurants),reservation,预订,Do we need to make a reservation for a table?
餐厅 (Restaurants),tip,小费,Remember to leave a tip for good service.
身体健康 (Health and Fitness),exercise,锻炼,Regular exercise can improve your overall health.
身体健康 (Health and Fitness),fitness,健康,She achieved a level of fitness that she had never experienced before.
身体健康 (Health and Fitness),healthy,健康,It's important to maintain a healthy diet and lifestyle.
身体健康 (Health and Fitness),nutrition,营养,Proper nutrition is essential for a healthy body.
身体健康 (Health and Fitness),wellness,健康,She practices mindfulness to promote her overall wellness.
身体健康 (Health and Fitness),muscle,肌肉,Weight training can help you build muscle and strength.
身体健康 (Health and Fitness),flexible,灵活,Regular stretching exercises can help you become more flexible.
身体健康 (Health and Fitness),energy,能量,Eating a balanced diet can boost your energy levels.
身体健康 (Health and Fitness),fresh,新鲜,Fresh fruits and vegetables are essential for a healthy diet.
身体健康 (Health and Fitness),rest,休息,Getting enough rest is important for your body's recovery.
社交媒体 (Social Media),post,发布,I just posted a new photo on Instagram.
社交媒体 (Social Media),like,赞,She got a lot of likes on her latest Facebook post.
社交媒体 (Social Media),comment,评论,Please leave a comment on my Twitter post.
社交媒体 (Social Media),share,分享,I will share this article on my LinkedIn account.
社交媒体 (Social Media),follow,关注,Don't forget to follow me on Twitter.
社交媒体 (Social Media),tag,标记,Remember to tag me in your Instagram post.
社交媒体 (Social Media),tweet,推文,He sent out a funny tweet last night.
社交媒体 (Social Media),hashtag,标签,Make sure to use the right hashtags in your post.
社交媒体 (Social Media),story,故事,She posted a story on her Snapchat account.
社交媒体 (Social Media),profile,个人资料,You can update your profile on this social media platform.
家具 (Furniture),chair,椅子,Please have a seat on the chair.
家具 (Furniture),table,桌子,The lamp is on the table.
家具 (Furniture),sofa,沙发,I love to relax on the sofa.
家具 (Furniture),bed,床,I sleep on a comfortable bed every night.
家具 (Furniture),desk,书桌,I study at my desk every day.
家具 (Furniture),cabinet,橱柜,The dishes are stored in the cabinet.
家具 (Furniture),wardrobe,衣柜,I hang my clothes in the wardrobe.
家具 (Furniture),bookshelf,书架,The books are neatly arranged on the bookshelf.
家具 (Furniture),dining table,餐桌,We gather around the dining table for meals.
家具 (Furniture),coffee table,茶几,The remote control is on the coffee table.
家具 (Furniture),TV stand,电视柜,The TV is placed on the TV stand.
家具 (Furniture),armchair,扶手椅,I like to read books in the armchair.
家具 (Furniture),dresser,梳妆台,She does her makeup at the dresser.
家具 (Furniture),nightstand,床头柜,I keep a glass of water on the nightstand.
家具 (Furniture),ottoman,无靠背长凳,I use the ottoman as a footrest.
家具 (Furniture),bench,长椅,We sit on the bench in the garden.
家具 (Furniture),rocking chair,摇椅,Grandpa enjoys rocking in the rocking chair.
家具 (Furniture),stool,凳子,The stool is used for extra seating.
家具 (Furniture),TV unit,电视柜,The TV
家具 (Furniture),shelves,架子,I display my decorations on the shelves.
家具 (Furniture),cupboard,储藏柜,The food is stored in the cupboard.
家具 (Furniture),mirror,镜子,She checks her reflection in the mirror.
家具 (Furniture),hanger,衣架,I hang my coat on the hanger.
家具 (Furniture),drawers,抽屉,I keep my socks and underwear in the drawers.
家具 (Furniture),filing cabinet,文件柜,Important documents are stored in the filing cabinet.
家具 (Furniture),desk lamp,台灯,I study under the desk lamp.
家具 (Furniture),shoe rack,鞋架,The shoes are neatly organized on the shoe rack.
家具 (Furniture),bean bag,豆袋椅,I relax on the bean bag while watching TV.
科学 (Science),experiment,实验,We need to conduct an experiment to test our hypothesis.
科学 (Science),hypothesis,假设,My hypothesis is that plants will grow better with sunlight.
科学 (Science),chemical,化学的,This cleaning product contains harmful chemicals.
科学 (Science),lab,实验室,We have a lab where we can conduct our experiments.
科学 (Science),biology,生物学,She is studying biology in university.
科学 (Science),ecosystem,生态系统,The forest is a complex ecosystem.
科学 (Science),gravity,重力,The apple fell from the tree due to gravity.
科学 (Science),electricity,电,We need electricity to power our devices.
科学 (Science),molecule,分子,Water is made up of two hydrogen molecules and one oxygen molecule.
科学 (Science),element,元素,Oxygen is an essential element for human life.
科学 (Science),atmosphere,大气,The atmosphere protects us from harmful cosmic rays.
科学 (Science),galaxy,星系,Our solar system is located in the Milky Way galaxy.
科学 (Science),photosynthesis,光合作用,Plants use photosynthesis to make their own food.
科学 (Science),evolution,进化,The theory of evolution explains the diversity of life on Earth.
科学 (Science),gene,基因,Genes determine our biological traits.
科学 (Science),laboratory,实验室,They are conducting experiments in the laboratory.
科学 (Science),organism,生物体,Humans are complex organisms.
科学 (Science),fusion,聚变,The sun produces energy through nuclear fusion.
科学 (Science),reproduction,繁殖,Animals reproduce to ensure the survival of their species.
科学 (Science),meteorology,气象学,Meteorology studies weather patterns.
科学 (Science),motion,运动,The laws of motion were formulated by Isaac Newton.
科学 (Science),nucleus,细胞核,The nucleus contains the cell's genetic material.
科学 (Science),temperature,温度,The temperature is dropping as winter approaches.
科学 (Science),respiration,呼吸,Respiration is the process of exchanging gases in the body.
科学 (Science),astronomy,天文学,Astronomy deals with the study of celestial bodies.
科学 (Science),chemical reaction,化学反应,When vinegar and baking soda mix
科学 (Science),solar system,太阳系,Our planet is part of the solar system.
科学 (Science),energy,能量,We need energy to power our homes and vehicles.
社会问题 (Social Issues),poverty,贫困,Many families in this area live in poverty.
社会问题 (Social Issues),unemployment,失业,The high rate of unemployment has become a major concern.
社会问题 (Social Issues),inequality,不平等,There is a growing awareness of gender inequality in the workplace.
社会问题 (Social Issues),discrimination,歧视,This company has a strict policy against discrimination.
社会问题 (Social Issues),homelessness,无家可归,The government is working to provide housing for the homeless.
社会问题 (Social Issues),violence,暴力,The community is coming together to address the issue of violence.
社会问题 (Social Issues),pollution,污染,Industrial pollution is a significant problem in this city.
社会问题 (Social Issues),inequality,不平等,There is a growing awareness of income inequality.
社会问题 (Social Issues),racism,种族歧视,Racism is a persistent issue that needs to be tackled.
社会问题 (Social Issues),education,教育,Access to quality education is fundamental for all children.
战争 (War),attack,进攻,The troops launched a fierce attack on the enemy position.
战争 (War),battle,战斗,The soldiers fought bravely in the battle.
战争 (War),soldier,士兵,The brave soldier risked his life to protect his comrades.
战争 (War),weapon,武器,The army was well-equipped with advanced weapons.
战争 (War),victory,胜利,The victory in the battle boosted the morale of the troops.
战争 (War),defend,防御,The soldiers were ordered to defend the city from enemy attacks.
战争 (War),casualty,伤亡,There were many casualties after the intense battle.
战争 (War),retreat,撤退,The commander ordered a tactical retreat to regroup the troops.
战争 (War),strategy,战略,The general devised a new strategy to outsmart the enemy.
战争 (War),surrender,投降,The enemy forces decided to surrender after facing defeat.
战争 (War),troops,部队,The troops marched in formation towards the battlefield.
战争 (War),bomb,炸弹,The air raid caused massive destruction as bombs fell from the sky.
战争 (War),invasion,入侵,The enemy forces planned a full-scale invasion of the country.
战争 (War),tank,坦克,The tank rolled through the battlefield
战争 (War),alliance,联盟,The two countries formed an alliance to strengthen their military power.
战争 (War),peace,和平,After years of conflict
战争 (War),truce,停战,The ceasefire agreement led to a temporary truce between the opposing forces.
战争 (War),strategy,战略,The general devised a new strategy to outsmart the enemy.
战争 (War),siege,围困,The enemy forces laid siege to the fortress
战争 (War),ambush,伏击,The soldiers fell into an enemy ambush while patrolling the area.
战争 (War),commander,指挥官,The commander led his troops with courage and wisdom.
战争 (War),army,军队,The army was mobilized to counter the advancing enemy forces.
战争 (War),frontline,前线,The frontline soldiers faced heavy enemy fire as they advanced.
战争 (War),infiltrate,渗透,The special forces were tasked to infiltrate behind enemy lines.
战争 (War),resistance,抵抗,The resistance fighters bravely fought against the occupying forces.
战争 (War),atrocities,暴行,The war crimes tribunal held those responsible for the atrocities committed.
战争 (War),peacekeeping,维和,The UN peacekeeping troops were deployed to maintain peace in the region.
战争 (War),rally,集结,The troops rallied together
战争 (War),strategy,战略,The general devised a new strategy to outsmart the enemy.
能源 (Energy),electricity,电力,The lamp is powered by electricity.
能源 (Energy),solar,太阳能的,Solar panels are used to harness solar energy.
能源 (Energy),wind,风能,Wind turbines generate electricity from the wind.
能源 (Energy),fuel,燃料,Gasoline is a common type of fuel for cars.
能源 (Energy),power,动力,The generator provides power to the entire building.
能源 (Energy),battery,电池,My phone's battery needs to be recharged.
能源 (Energy),hydroelectric,水力发电的,The dam produces hydroelectric power.
能源 (Energy),nuclear,核能的,Nuclear energy is a controversial topic.
能源 (Energy),renewable,可再生的,Solar and wind energy are renewable resources.
能源 (Energy),fossil,化石的,Fossil fuels like coal and oil are nonrenewable.
能源 (Energy),geothermal,地热的,Geothermal energy is harnessed from the Earth's heat.
能源 (Energy),biomass,生物质,Biomass energy comes from organic materials.
能源 (Energy),electricity grid,电网,The electricity grid distributes power to homes and businesses.
能源 (Energy),biofuel,生物燃料,Biofuels are derived from renewable organic materials.
能源 (Energy),natural gas,天然气,Many homes use natural gas for heating and cooking.
能源 (Energy),wave,波浪能,Wave energy is captured by devices in the ocean.
能源 (Energy),tidal,潮汐的,Tidal power utilizes the energy from ocean tides.
能源 (Energy),energy efficiency,能源效率,Improving energy efficiency can reduce consumption.
能源 (Energy),fuel cell,燃料电池,Fuel cells can convert chemical energy into electricity.
能源 (Energy),combustion,燃烧,Combustion engines are commonly used in vehicles.
能源 (Energy),kilowatt-hour (kWh),千瓦时,The energy consumption of a device is measured in kilowatt-hours.
能源 (Energy),energy conservation,能源节约,Energy conservation is important for sustainability.
能源 (Energy),renewable energy certificate (REC),可再生能源证书,Companies can purchase RECs to support renewable energy.
能源 (Energy),energy storage,储能,Batteries are used for energy storage in solar systems.
能源 (Energy),energy source,能源来源,Solar panels are a popular energy source for homes.
能源 (Energy),carbon footprint,碳足迹,Driving less can help reduce your carbon footprint.
能源 (Energy),energy crisis,能源危机,Countries may face an energy crisis during a shortage.
能源 (Energy),power plant,发电厂,A power plant generates electricity for a region.
能源 (Energy),energy consumption,能源消耗,Energy consumption is a key factor in environmental impact.
能源 (Energy),energy audit,能源审计,An energy audit can assess a building's energy usage.
植物 (Plants),flower,花,She picked a beautiful flower from the garden.
植物 (Plants),tree,树,The children climbed the tree to get a better view.
植物 (Plants),leaves,叶子,The leaves on the trees turned red and orange in the fall.
植物 (Plants),stem,茎,The stem of the plant was tall and strong.
植物 (Plants),roots,根,The roots of the tree spread out deep into the ground.
植物 (Plants),fruit,水果,He enjoyed picking fresh fruit from the orchard.
植物 (Plants),branch,树枝,The bird perched on a branch of the tree.
植物 (Plants),petals,花瓣,The rose had delicate pink petals.
植物 (Plants),seeds,种子,She planted seeds in the garden and watched them grow.
植物 (Plants),grass,草,The grass in the field was green and lush.
植物 (Plants),blossom,开花,The cherry trees blossomed in the spring.
植物 (Plants),leaf,叶,She found a four-leaf clover for good luck.
植物 (Plants),bark,树皮,The bark of the tree was rough to the touch.
植物 (Plants),cactus,仙人掌,There was a large cactus in the desert.
植物 (Plants),fern,蕨类植物,She admired the delicate leaves of the fern.
植物 (Plants),ivy,常春藤,The ivy climbed up the side of the house.
植物 (Plants),moss,苔藓,The moss covered the rocks by the stream.
植物 (Plants),palm,棕榈树,The palm trees swayed in the breeze.
植物 (Plants),succulent,多肉植物,She cared for her succulent plants on the windowsill.
植物 (Plants),tulip,郁金香,The garden was full of colorful tulips in the spring.
植物 (Plants),daisy,雏菊,She made a bouquet of daisies for her friend.
植物 (Plants),sunflower,向日葵,The sunflower turned its face towards the sun.
植物 (Plants),dandelion,蒲公英,She blew on a dandelion to make a wish.
植物 (Plants),orchid,兰花,The orchid bloomed in shades of purple and white.
植物 (Plants),bush,灌木,The bird built its nest in the bush.
植物 (Plants),pine,松树,The pine forest smelled of fresh pine needles.
植物 (Plants),bamboo,竹子,The panda enjoyed eating bamboo shoots.
植物 (Plants),rose,玫瑰,He gave her a bouquet of red roses for Valentine's Day.
植物 (Plants),tulip,郁金香,The tulips bloomed in a riot of colors in the spring.
家电 (Appliances),Refrigerator,冰箱,Our old refrigerator broke down
家电 (Appliances),Microwave,微波炉,I use the microwave to quickly heat up my leftovers.
家电 (Appliances),Washing machine,洗衣机,I need to put the clothes in the washing machine to clean them.
家电 (Appliances),Oven,烤箱,Let's bake some cookies in the oven.
家电 (Appliances),Dishwasher,洗碗机,I love how the dishwasher saves me time from washing dishes by hand.
家电 (Appliances),Blender,搅拌机,I use the blender to make smoothies in the morning.
家电 (Appliances),Toaster,烤面包机,I like to have toast with butter and jam for breakfast.
家电 (Appliances),Coffee maker,咖啡机,The coffee maker helps me start my day with a fresh cup of coffee.
家电 (Appliances),Fan,风扇,I turn on the fan to cool down the room during hot days.
家电 (Appliances),Air conditioner,空调,The air conditioner keeps the house cool in the summer.
家电 (Appliances),Heater,暖气,I turn on the heater to warm up the room in the winter.
家电 (Appliances),Vacuum cleaner,吸尘器,I use the vacuum cleaner to clean the carpet.
家电 (Appliances),Iron,熨斗,I need to use the iron to press my clothes before going out.
家电 (Appliances),Hair dryer,吹风机,I use the hair dryer to dry my hair quickly.
家电 (Appliances),Electric kettle,电水壶,I need to boil water in the electric kettle for my tea.
家电 (Appliances),Rice cooker,电饭煲,The rice cooker helps me cook perfect rice every time.
家电 (Appliances),Electric fan,电风扇,The electric fan keeps me cool during the hot summer nights.
家电 (Appliances),Juicer,榨汁机,I use the juicer to make fresh fruit juice every morning.
家电 (Appliances),Electric toothbrush,电动牙刷,The electric toothbrush helps me keep my teeth clean.
家电 (Appliances),Food processor,食品加工机,I use the food processor to chop vegetables for cooking.
家电 (Appliances),Slow cooker,慢炖锅,I love making beef stew in the slow cooker.
家电 (Appliances),Bread maker,面包机,I use the bread maker to bake fresh bread at home.
家电 (Appliances),Mixer,搅拌器,The mixer helps me whip cream for desserts.
家电 (Appliances),Freezer,冷冻库,I store frozen foods in the freezer for later use.
家电 (Appliances),Electric grill,电烤架,I like to barbecue on the electric grill in the backyard.
家电 (Appliances),Air purifier,空气净化器,The air purifier helps to improve the air quality in my home.
家电 (Appliances),Humidifier,加湿器,I use the humidifier in dry seasons to add moisture to the air.
